s1mpl  ;33;7;2;11;1;42;;;;16;Legendary Eagle        ;  Nuke  ;   2021-02-07 18:57:30  ;  00:01:05  ;  00:11:50  ;  8 : 8 
Loviflo  ;28;12;3;12;7;41;;;;29;Legendary Eagle        ;  Nuke  ;   2021-02-07 18:57:30  ;  00:01:05  ;  00:11:50  ;  8 : 8 
Ilesis  ;33;7;2;8;1;71;;;;20;Legendary Eagle        ;  Nuke  ;   2021-02-07 18:57:30  ;  00:01:05  ;  00:11:50  ;  8 : 8 
Loviflo  ;22;12;1;5;5;41;;;;27;Legendary Eagle        ;  Cobblestone  ;   2021-02-07 18:44:26  ;  00:00:49  ;  00:09:42  ;  9 : 3 
Ilesis  ;27;9;4;5;4;55;;;;22;Legendary Eagle        ;  Cobblestone  ;   2021-02-07 18:44:26  ;  00:00:49  ;  00:09:42  ;  9 : 3 
Господь  ;43;6;0;9;2;16;;;;14;Legendary Eagle        ;  Cobblestone  ;   2021-02-07 18:44:26  ;  00:00:49  ;  00:09:42  ;  9 : 3 
ТАК БЛЭТ  ;61;4;1;12;1;25;;;;9;Distinguished M-G      ;  Cobblestone  ;   2021-02-07 18:44:26  ;  00:00:49  ;  00:09:42  ;  9 : 3 
Loviflo  ;30;9;0;9;4;11;;;;20;Legendary Eagle        ;  Cobblestone  ;   2021-02-07 18:30:34  ;  00:01:10  ;  00:10:26  ;  6 : 9 
Ilesis  ;32;5;4;11;2;20;;;;16;Legendary Eagle        ;  Cobblestone  ;   2021-02-07 18:30:34  ;  00:01:10  ;  00:10:26  ;  6 : 9 
2;26;13;1;6;4;53;;;;27;Supreme Elite          ;  Cobblestone  ;   2021-02-07 18:30:34  ;  00:01:10  ;  00:10:26  ;  6 : 9 
daErik  ;36;7;0;8;5;28;;;;16;Unrank                 ;  Cobblestone  ;   2021-02-07 18:30:34  ;  00:01:10  ;  00:10:26  ;  6 : 9 
